,employer_name,employer_id,employer_website,employer_description,employer_size,employer_revenue,employer_headquarters,employer_founded,employer_industry
0,HSBC,3482,www.hsbc.com,"One of the world's largest banking groups by assets, HSBC Holdings owns subsidiaries throughout Europe, Hong Kong and the rest of the Asia/Pacific region, the Middle East and Africa, and the Americas. All told, the company has some 7,500 locations in more than 80 countries. Its",10000+ Employees,$10+ billion (USD),"London, United Kingdom",1865,Banking & Lending
1,United Overseas Bank,11462,www.uobgroup.com/careers/index.page,"UOB: Right by you for 80 years & beyond.

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head",10000+ Employees,$5 to $10 billion (USD),"Singapore, Singapore",1935,Banking & Lending
2,"Micron Technology, Inc",1648,www.micron.com,"For over 40 years, Micronâ€™s memory and storage solutions have been foundational to innovations that have transformed the world in countless ways. Our technology and expertise are core to computers that boot up in an instant and work harder and faster; mobile phones with",10000+ Employees,$10+ billion (USD),"Boise, ID",1978,Computer Hardware Development
3,META,40772,www.metacareers.com,"The Facebook company is now Meta. Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world.",10000+ Employees,$10+ billion (USD),"Menlo Park, CA",2004,Internet & Web Services
4,Amazon,6036,www.amazon.jobs,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building",10000+ Employees,$10+ billion (USD),"Seattle, WA",1994,Internet & Web Services
5,Apple,1138,www.apple.com,"Weâ€™re a diverse collective of thinkers and doers, continually reimagining whatâ€™s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices â€” strengthening our commitment to leave the world better than",10000+ Employees,$10+ billion (USD),"Cupertino, CA",1976,Computer Hardware Development
6,DBS Bank,611812,www.dbs.com,"DBS is a leading financial services group in Asia with a presence in 18 markets. As a bank born and bred in Asia, DBS understands the intricacies of doing business in the regionâ€™s most dynamic markets.  

ğ€ğ¬ğ¢ğš'ğ¬ ğ’ğšğŸğğ¬ğ­, ğ–ğ¨ğ«ğ¥ğ'ğ¬ ğğğ¬ğ­
Headquartered and listed",10000+ Employees,$5 to $10 billion (USD),"Singapore, Singapore",1968,Banking & Lending
7,Accenture,4138,www.accenture.com,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services â€”",10000+ Employees,$10+ billion (USD),"Dublin, Ireland",1989,Business Consulting
8,Netflix,11891,www.netflix.com,"Netflix is the world's leading streaming entertainment service with 193 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on",5001 to 10000 Employees,$5 to $10 billion (USD),"Los Gatos, CA",1997,Internet & Web Services
9,Google,9079,goo.gle/3ygdkgv,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create",10000+ Employees,$10+ billion (USD),"Mountain View, CA",1998,Internet & Web Services
10,Infineon Technologies,8915,www.infineon.com,"Infineon Technologies focuses on the three central challenges facing modern society: Energy Efficiency, Mobility and Security and offers semiconductors and system solutions for automotive and industrial electronics and chip card and security applications.

Infineonâ€™s products",10000+ Employees,$10+ billion (USD),"Neubiberg, Germany",1999,Electronics Manufacturing
11,ST Engineering,8082,www.stengg.com,"Singapore Technologies Engineering owns a group of engineering firms divided into four business segments: Aerospace, Electronics, Land Systems, and Marine. Its Aerospace unit maintains, repairs, and overhauls commercial and military aircraft; its Land Systems unit upgrades and",10000+ Employees,$5 to $10 billion (USD),"Singapore, Singapore",1997,Commercial Equipment Services
12,SembCorp,9137,www.sembcorp.com,"Sembcorp Industries can help your ship keep its shape or sell you electricity, among other things. Its 62%-held Sembcorp Marine subsidiary, the #2 offshore oil rig maker in the world, specializes in marine and offshore engineering services such as ship building and conversion,",5001 to 10000 Employees,$5 to $10 billion (USD),"Singapore, Singapore",1963,Energy & Utilities
13,NTUC Fairprice,138849,www.fairprice.com.sg,,5001 to 10000 Employees,$1 to $5 billion (USD),"Singapore, Singapore",1973,Vehicle Dealers
